candidate_id,rank,score,reasoning
CAND_0096172,31,0.671538,"Candidate has 5 years experience as NLP Engineer; skills in LangChain, Qdrant, Elasticsearch; product-company background; recently active, 45-day notice."
CAND_0005649,32,0.670502,"Candidate has 7 years experience as Senior Data Scientist; skills in Recommendation Systems, Weaviate, Fine-tuning LLMs; product-company background; long notice (90 days)."
CAND_0037566,33,0.668591,"Candidate has 7 years experience as Machine Learning Engineer; skills in LangChain, TensorFlow, Pinecone; product-company background; 30-day notice or less."
CAND_0030468,34,0.665820,"Candidate has 5 years experience as Senior Applied Scientist; skills in OpenSearch, Milvus, Content Matching; product-company background; recently active, 45-day notice."
CAND_0045250,35,0.665649,"Candidate has 7 years experience as Applied ML Engineer; skills in BM25, LangChain, TensorFlow; product-company background; recently active, 30-day notice or less."
CAND_0095619,36,0.664932,"Candidate has 16 years experience as NLP Engineer; skills in Pinecone, Weaviate, NLP; product-company background; 30-day notice or less."
CAND_0075574,37,0.663337,"Candidate has 6 years experience as Machine Learning Engineer; skills in OpenSearch, Elasticsearch, scikit-learn; product-company background; recently active, 60-day notice."
CAND_0000031,38,0.662873,"Candidate has 6 years experience as Recommendation Systems Engineer; skills in Pinecone, Information Retrieval, Sentence Transformers; product-company background; recently active, 60-day notice. Concerns: low historical acceptance (38%)."
CAND_0041610,39,0.662273,"Candidate has 7 years experience as Recommendation Systems Engineer; skills in Elasticsearch, scikit-learn, OpenSearch; product-company background; recently active, 30-day notice or less."
CAND_0006567,40,0.661240,"Candidate has 8 years experience as Senior AI Engineer; skills in Prompt Engineering, Content Matching, BM25; product-company background; recently active, 60-day notice."
CAND_0017960,41,0.660918,"Candidate has 8 years experience as Recommendation Systems Engineer; skills in Haystack, PEFT, Information Retrieval; product-company background; 60-day notice."
CAND_0093912,42,0.659442,"Candidate has 5 years experience as Senior Data Scientist; skills in Vector Search, Elasticsearch, Milvus; product-company background; recently active, 30-day notice or less."
CAND_0036184,43,0.658485,"Candidate has 6 years experience as Recommendation Systems Engineer; skills in Sentence Transformers, PyTorch, Embeddings; product-company background; recently active, 30-day notice or less."
CAND_0075249,44,0.657126,"Candidate has 6 years experience as Applied ML Engineer; skills in Fine-tuning LLMs, Pinecone, Milvus; product-company background; 45-day notice."
CAND_0079387,45,0.657109,"Candidate has 7 years experience as AI Engineer; skills in OpenSearch, LoRA, Vector Search; product-company background; 30-day notice or less."
CAND_0030031,46,0.656640,"Candidate has 6 years experience as AI Engineer; skills in LoRA, NLP, scikit-learn; recently active, 30-day notice or less."
CAND_0096142,47,0.655375,"Candidate has 5 years experience as Applied ML Engineer; skills in Python, BM25, Pinecone; recently active, very long notice (120 days). Concerns: long notice period (120d)."
CAND_0008425,48,0.654843,"Candidate has 8 years experience as Senior NLP Engineer; skills in Sentence Transformers, Haystack, Qdrant; product-company background; long notice (90 days)."
CAND_0051004,49,0.654697,"Candidate has 5 years experience as Senior Data Scientist; skills in Vector Search, Prompt Engineering, Haystack; product-company background; recently active, 30-day notice or less."
CAND_0077285,50,0.653540,"Candidate has 6 years experience as Recommendation Systems Engineer; skills in Fine-tuning LLMs, LoRA, Sentence Transformers; product-company background; recently active, 60-day notice."
CAND_0074225,51,0.653320,"Candidate has 4 years experience as Machine Learning Engineer; skills in Milvus, Vector Search, Python; product-company background; recently active, very long notice (120 days). Concerns: long notice period (120d)."
CAND_0054123,52,0.653038,"Candidate has 5 years experience as Applied ML Engineer; skills in LangChain, pgvector, Qdrant; product-company background; recently active, 60-day notice."
CAND_0011162,53,0.652404,"Candidate has 6 years experience as Recommendation Systems Engineer; skills in FAISS, OpenSearch, LangChain; product-company background; recently active, long notice (90 days)."
CAND_0083879,54,0.652170,"Candidate has 7 years experience as Machine Learning Engineer; skills in Fine-tuning LLMs, Sentence Transformers, Prompt Engineering; product-company background; 30-day notice or less."
CAND_0027691,55,0.651886,"Candidate has 6 years experience as NLP Engineer; skills in Recommendation Systems, TensorFlow, Weaviate; 30-day notice or less."
CAND_0042029,56,0.651035,"Candidate has 6 years experience as Senior Data Scientist; skills in OpenSearch, PyTorch, NLP; product-company background; 45-day notice."
CAND_0069905,57,0.649807,"Candidate has 7 years experience as Applied ML Engineer; skills in Weaviate, Recommendation Systems, MLOps; product-company background; long notice (90 days)."
CAND_0043860,58,0.647966,"Candidate has 6 years experience as Junior ML Engineer; skills in OpenCV, GANs, Semantic Search; product-company background; recently active, 30-day notice or less."
CAND_0028793,59,0.646340,"Candidate has 7 years experience as Search Engineer; skills in LoRA, Embeddings, Learning to Rank; product-company background; very long notice (120 days). Concerns: long notice period (120d)."
CAND_0088025,60,0.646160,"Candidate has 9 years experience as Staff Machine Learning Engineer; skills in Learning to Rank, TensorFlow, QLoRA; product-company background; recently active, long notice (90 days)."
CAND_0078492,61,0.645523,"Candidate has 5 years experience as Recommendation Systems Engineer; skills in Hugging Face Transformers, Haystack, FAISS; 30-day notice or less."
CAND_0081053,62,0.645153,"Candidate has 5 years experience as NLP Engineer; skills in Semantic Search, Machine Learning, Weaviate; product-company background; long notice (90 days)."
CAND_0052682,63,0.644022,"Candidate has 7 years experience as NLP Engineer; skills in Semantic Search, Python, QLoRA; product-company background; 30-day notice or less."
CAND_0054394,64,0.641379,"Candidate has 4 years experience as Recommendation Systems Engineer; skills in Fine-tuning LLMs, scikit-learn, Embeddings; recently active, 30-day notice or less."
CAND_0080766,65,0.639310,"Candidate has 9 years experience as Staff Machine Learning Engineer; skills in TensorFlow, Search & Discovery, LoRA; product-company background; immediately available."
CAND_0098846,66,0.637164,"Candidate has 8 years experience as AI Engineer; skills in Qdrant, Machine Learning, Recommendation Systems; product-company background; 45-day notice."
CAND_0043384,67,0.637121,"Candidate has 5 years experience as Computer Vision Engineer; skills in Kubeflow, Reinforcement Learning, Diffusion Models; product-company background; recently active, 60-day notice."
CAND_0068932,68,0.636723,"Candidate has 5 years experience as ML Engineer; skills in Diffusion Models, OpenSearch, MLOps; product-company background; recently active, 30-day notice or less."
CAND_0050876,69,0.636303,"Candidate has 6 years experience as Applied ML Engineer; skills in scikit-learn, Prompt Engineering, Sentence Transformers; product-company background; recently active, long notice (90 days)."
CAND_0006418,70,0.634949,"Candidate has 6 years experience as Machine Learning Engineer; skills in Weaviate, Embeddings, Semantic Search; product-company background; 60-day notice."
CAND_0091909,71,0.634587,"Candidate has 7 years experience as Machine Learning Engineer; skills in Hugging Face Transformers, LangChain, scikit-learn; product-company background; 45-day notice. Concerns: low historical acceptance (34%)."
CAND_0007009,72,0.633907,"Candidate has 8 years experience as Recommendation Systems Engineer; skills in OpenSearch, Python, Learning to Rank; 30-day notice or less."
CAND_0079284,73,0.633813,"Candidate has 5 years experience as Machine Learning Engineer; skills in Elasticsearch, Machine Learning, LlamaIndex; product-company background; 30-day notice or less. Concerns: low historical acceptance (34%)."
CAND_0082086,74,0.631775,"Candidate has 6 years experience as Senior Software Engineer (ML); skills in PyTorch, FAISS, Reinforcement Learning; product-company background; recently active, 45-day notice. Concerns: low historical acceptance (34%)."
CAND_0037000,75,0.630833,"Candidate has 3 years experience as Search Engineer; skills in LangChain, FAISS, MLOps; product-company background; recently active, 30-day notice or less. Concerns: low historical acceptance (39%); below recommended experience range."
CAND_0058575,76,0.630460,"Candidate has 6 years experience as AI Engineer; skills in Hugging Face Transformers, Pinecone, PyTorch; product-company background; long notice (90 days)."
CAND_0078002,77,0.630208,"Candidate has 6 years experience as Machine Learning Engineer; skills in QLoRA, TensorFlow, LlamaIndex; product-company background; 60-day notice."
CAND_0051292,78,0.629830,"Candidate has 5 years experience as Applied ML Engineer; skills in RAG, pgvector, NLP; product-company background; 30-day notice or less."
CAND_0018549,79,0.628219,"Candidate has 7 years experience as Recommendation Systems Engineer; skills in Prompt Engineering, LangChain, Milvus; product-company background; 60-day notice."
CAND_0061655,80,0.628194,"Candidate has 5 years experience as Machine Learning Engineer; skills in PEFT, Machine Learning, Pinecone; product-company background; recently active, 30-day notice or less."
CAND_0043228,81,0.626912,"Candidate has 7 years experience as Applied ML Engineer; skills in Hugging Face Transformers, Sentence Transformers, pgvector; product-company background; recently active, 30-day notice or less."
CAND_0010770,82,0.625928,"Candidate has 15 years experience as Recommendation Systems Engineer; skills in Haystack, TensorFlow, Learning to Rank; product-company background; recently active, 30-day notice or less."
CAND_0008295,83,0.625773,"Candidate has 6 years experience as AI Research Engineer; skills in BM25, Python, BentoML; product-company background; recently active, 45-day notice."
CAND_0073007,84,0.625159,"Candidate has 6 years experience as AI Specialist; skills in Embeddings, MLflow, Speech Recognition; product-company background; recently active, 60-day notice."
CAND_0076163,85,0.625026,"Candidate has 7 years experience as NLP Engineer; skills in LlamaIndex, Semantic Search, LangChain; product-company background; recently active, 60-day notice."
CAND_0064904,86,0.624286,"Candidate has 5 years experience as AI Engineer; skills in TensorFlow, Prompt Engineering, Embeddings; product-company background; long notice (90 days)."
CAND_0016163,87,0.624034,"Candidate has 7 years experience as Applied ML Engineer; skills in TensorFlow, Machine Learning, pgvector; very long notice (120 days). Concerns: long notice period (120d)."
CAND_0007460,88,0.623841,"Candidate has 5 years experience as AI Engineer; skills in RAG, Weaviate, LoRA; recently active, very long notice (120 days). Concerns: long notice period (120d)."
CAND_0020877,89,0.622169,"Candidate has 5 years experience as Applied ML Engineer; skills in scikit-learn, LlamaIndex, Deep Learning; product-company background; 60-day notice."
CAND_0084819,90,0.621471,"Candidate has 4 years experience as Search Engineer; skills in LoRA, Information Retrieval, OpenSearch; product-company background; recently active, very long notice (120 days). Concerns: long notice period (120d)."
CAND_0009691,91,0.620942,"Candidate has 6 years experience as Applied ML Engineer; skills in LoRA, LangChain, Fine-tuning LLMs; recently active, very long notice (120 days). Concerns: long notice period (120d)."
CAND_0043637,92,0.620746,"Candidate has 6 years experience as Junior ML Engineer; skills in Learning to Rank, PyTorch, Feature Engineering; product-company background; recently active, 45-day notice."
CAND_0030348,93,0.620049,"Candidate has 4 years experience as Machine Learning Engineer; skills in LlamaIndex, Haystack, pgvector; 45-day notice."
CAND_0083852,94,0.619990,"Candidate has 6 years experience as Data Scientist; skills in Pinecone, Kubeflow, PyTorch; product-company background; recently active, long notice (90 days)."
CAND_0006557,95,0.619686,"Candidate has 8 years experience as NLP Engineer; skills in Vector Search, FAISS, Hugging Face Transformers; product-company background; very long notice (120 days). Concerns: long notice period (120d)."
CAND_0039383,96,0.619588,"Candidate has 7 years experience as Applied ML Engineer; skills in pgvector, QLoRA, FAISS; product-company background; long notice (90 days)."
CAND_0005538,97,0.619134,"Candidate has 6 years experience as Senior AI Engineer; skills in pgvector, Deep Learning, PyTorch; product-company background; recently active, long notice (90 days)."
CAND_0004402,98,0.618924,"Candidate has 6 years experience as AI Research Engineer; skills in BentoML, TTS, Learning to Rank; product-company background; recently active, 60-day notice."
CAND_0091534,99,0.618045,"Candidate has 17 years experience as AI Engineer; skills in RAG, scikit-learn, LangChain; product-company background; recently active, 30-day notice or less. Concerns: low historical acceptance (35%)."
CAND_0005311,100,0.617639,"Candidate has 6 years experience as AI Research Engineer; skills in BentoML, Prompt Engineering, QLoRA; product-company background; recently active, 30-day notice or less."
